Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States                 ,153150,81348,3008,2186,66608,dec,2021
Northeast Region              ,25440,5926,592,521,18401,dec,2021
     New England Division          ,4415,1754,188,45,2428,dec,2021
          Connecticut                   ,495,337,14,0,144,dec,2021
          Maine                         ,622,425,80,3,114,dec,2021
          Massachusetts                 ,2673,637,54,34,1948,dec,2021
          New Hampshire                 ,249,214,12,0,23,dec,2021
          Rhode Island                  ,137,92,24,8,13,dec,2021
          Vermont                       ,239,49,4,0,186,dec,2021
     Middle Atlantic Division      ,21025,4172,404,476,15973,dec,2021
          New Jersey                    ,4530,1294,122,105,3009,dec,2021
          New York                      ,3459,827,100,38,2494,dec,2021
          Pennsylvania                  ,13036,2051,182,333,10470,dec,2021
Midwest Region                ,18249,9646,438,391,7774,dec,2021
     East North Central Division   ,10398,5685,206,144,4363,dec,2021
          Illinois                      ,1080,739,46,54,241,dec,2021
          Indiana                       ,3200,1678,22,4,1496,dec,2021
          Michigan                      ,1596,1025,22,49,500,dec,2021
          Ohio                          ,2276,1408,36,30,802,dec,2021
          Wisconsin                     ,2246,835,80,7,1324,dec,2021
     West North Central Division   ,7851,3961,232,247,3411,dec,2021
          Iowa                          ,716,632,20,20,44,dec,2021
          Kansas                        ,855,489,76,11,279,dec,2021
          Minnesota                     ,2918,1018,56,47,1797,dec,2021
          Missouri                      ,1898,1168,58,88,584,dec,2021
          Nebraska                      ,743,411,4,50,278,dec,2021
          North Dakota                  ,199,43,18,0,138,dec,2021
          South Dakota                  ,522,200,0,31,291,dec,2021
South Region                  ,71689,47701,1262,772,21954,dec,2021
     South Atlantic Division       ,38701,26283,464,222,11732,dec,2021
          Delaware                      ,564,528,4,0,32,dec,2021
          District of Columbia          ,343,9,0,0,334,dec,2021
          Florida                       ,17640,11256,244,115,6025,dec,2021
          Georgia                       ,5456,3821,40,49,1546,dec,2021
          Maryland                      ,1189,913,4,48,224,dec,2021
          North Carolina                ,6479,4666,32,3,1778,dec,2021
          South Carolina                ,3459,3075,64,0,320,dec,2021
          Virginia                      ,3329,1783,66,7,1473,dec,2021
          West Virginia                 ,242,232,10,0,0,dec,2021
     East South Central Division   ,8202,5319,78,118,2687,dec,2021
          Alabama                       ,1437,1340,12,18,67,dec,2021
          Kentucky                      ,1376,766,26,10,574,dec,2021
          Mississippi                   ,613,583,0,10,20,dec,2021
          Tennessee                     ,4776,2630,40,80,2026,dec,2021
     West South Central Division   ,24786,16099,720,432,7535,dec,2021
          Arkansas                      ,1307,768,212,211,116,dec,2021
          Louisiana                     ,1407,1303,38,7,59,dec,2021
          Oklahoma                      ,1181,1040,28,0,113,dec,2021
          Texas                         ,20891,12988,442,214,7247,dec,2021
West Region                   ,37772,18075,716,502,18479,dec,2021
