City,StateName,Date,RegionID,RegionName,RegionType,SizeRank,Median Days To Close,Median Days To Pending,Market Temp Index Values,Median Sale,Median_NH_Values
Albuquerque,NM,2018-08-31,394312,"Albuquerque, NM",msa,62,38.0,20.0,50.0,198365.0,204679.8960021518
Battle Creek,MI,2018-08-31,394368,"Battle Creek, MI",msa,318,39.0,23.0,41.0,109489.0,51312.33665006981
Chattanooga,TN,2018-08-31,394460,"Chattanooga, TN",msa,102,33.0,15.0,49.0,161532.0,153723.25052853115
Eugene,OR,2018-08-31,394576,"Eugene, OR",msa,146,35.0,12.0,58.0,278881.0,327030.64431305404
Lansing,MI,2018-08-31,394770,"Lansing, MI",msa,107,27.0,29.0,44.0,136192.0,80393.4449439009
Newport,OR,2018-08-31,753905,"Newport, OR",msa,604,41.0,43.0,41.0,289808.0,316272.4601256918
Olympia,WA,2018-08-31,394937,"Olympia, WA",msa,172,34.0,9.0,60.0,295470.0,311651.5576363132
Providence,RI,2018-08-31,395005,"Providence, RI",msa,39,42.0,24.0,53.0,261249.0,198222.80704195384
Riverside,CA,2018-08-31,395025,"Riverside, CA",msa,13,32.0,24.0,57.0,347205.0,382001.35320171894
Rockford,IL,2018-08-31,395033,"Rockford, IL",msa,153,37.0,19.0,38.0,117997.0,88855.37834077691
Santa Rosa,CA,2018-08-31,395068,"Santa Rosa, CA",msa,112,28.0,18.0,48.0,618231.0,514173.17001843225
Sebastian,FL,2018-08-31,395079,"Sebastian, FL",msa,274,31.0,71.0,36.0,214666.0,238591.65435020463
Tucson,AZ,2018-08-31,395167,"Tucson, AZ",msa,54,35.0,16.0,55.0,193888.0,171934.63759970336
Waco,TX,2018-08-31,395197,"Waco, TX",msa,178,27.0,33.0,43.0,179377.0,101964.72384288718
Wichita,KS,2018-08-31,395224,"Wichita, KS",msa,94,32.0,21.0,97.0,150119.0,80534.30271685272
Wilmington,NC,2018-08-31,395229,"Wilmington, NC",msa,174,36.0,24.0,46.0,229476.0,232893.86890502693
Ann Arbor,MI,2018-09-30,394332,"Ann Arbor, MI",msa,148,35.0,17.0,45.0,256383.0,367212.02185927535
Binghamton,NY,2018-09-30,394387,"Binghamton, NY",msa,195,45.0,48.0,25.0,113483.0,100935.07255391032
Charlottesville,VA,2018-09-30,394459,"Charlottesville, VA",msa,212,42.0,41.0,41.0,269208.0,324932.6094909198
Denver,CO,2018-09-30,394530,"Denver, CO",msa,19,31.0,12.0,52.0,391724.0,439340.58335042524
Flint,MI,2018-09-30,394596,"Flint, MI",msa,135,35.0,18.0,38.0,139544.0,23141.120475841115
Jackson,MS,2018-09-30,394711,"Jackson, MS",msa,98,33.0,33.0,33.0,168911.0,44251.39943248321
Kalamazoo,MI,2018-09-30,394732,"Kalamazoo, MI",msa,190,38.0,15.0,35.0,148975.0,103427.93561617436
Lansing,MI,2018-09-30,394770,"Lansing, MI",msa,107,26.0,32.0,42.0,136029.0,79892.7046649528
Las Cruces,NM,2018-09-30,394773,"Las Cruces, NM",msa,214,36.0,30.0,40.0,183353.0,253802.6464117119
