State,Month,Year,Date,Region,Total,City,RegionID,RegionName,RegionType,SizeRank,Median Days To Close,Median Days To Pending,Market Temp Index Values,Median Sale,Median_NH_Values,LT Real Average (10> Yrs),Number of failed banks
NM,aug,2018,2018-08-31,new mexico,416,Albuquerque,394312,"Albuquerque, NM",msa,62,38.0,20.0,50.0,198365.0,204679.8960021518,0.89,0
MI,aug,2018,2018-08-31,michigan,2176,Battle Creek,394368,"Battle Creek, MI",msa,318,39.0,23.0,41.0,109489.0,51312.33665006981,0.89,0
TN,aug,2018,2018-08-31,tennessee,3737,Chattanooga,394460,"Chattanooga, TN",msa,102,33.0,15.0,49.0,161532.0,153723.25052853115,0.89,0
OR,aug,2018,2018-08-31,oregon,1706,Eugene,394576,"Eugene, OR",msa,146,35.0,12.0,58.0,278881.0,327030.64431305404,0.89,0
MI,aug,2018,2018-08-31,michigan,2176,Lansing,394770,"Lansing, MI",msa,107,27.0,29.0,44.0,136192.0,80393.4449439009,0.89,0
OR,aug,2018,2018-08-31,oregon,1706,Newport,753905,"Newport, OR",msa,604,41.0,43.0,41.0,289808.0,316272.4601256918,0.89,0
WA,aug,2018,2018-08-31,washington,4338,Olympia,394937,"Olympia, WA",msa,172,34.0,9.0,60.0,295470.0,311651.5576363132,0.89,0
RI,aug,2018,2018-08-31,rhode island,187,Providence,395005,"Providence, RI",msa,39,42.0,24.0,53.0,261249.0,198222.80704195384,0.89,0
CA,aug,2018,2018-08-31,california,8826,Riverside,395025,"Riverside, CA",msa,13,32.0,24.0,57.0,347205.0,382001.35320171894,0.89,0
IL,aug,2018,2018-08-31,illinois,1853,Rockford,395033,"Rockford, IL",msa,153,37.0,19.0,38.0,117997.0,88855.37834077691,0.89,0
CA,aug,2018,2018-08-31,california,8826,Santa Rosa,395068,"Santa Rosa, CA",msa,112,28.0,18.0,48.0,618231.0,514173.17001843225,0.89,0
FL,aug,2018,2018-08-31,florida,12439,Sebastian,395079,"Sebastian, FL",msa,274,31.0,71.0,36.0,214666.0,238591.65435020463,0.89,0
AZ,aug,2018,2018-08-31,arizona,3738,Tucson,395167,"Tucson, AZ",msa,54,35.0,16.0,55.0,193888.0,171934.63759970336,0.89,0
TX,aug,2018,2018-08-31,texas,15564,Waco,395197,"Waco, TX",msa,178,27.0,33.0,43.0,179377.0,101964.72384288718,0.89,0
KS,aug,2018,2018-08-31,kansas,1346,Wichita,395224,"Wichita, KS",msa,94,32.0,21.0,97.0,150119.0,80534.30271685272,0.89,0
NC,aug,2018,2018-08-31,north carolina,7348,Wilmington,395229,"Wilmington, NC",msa,174,36.0,24.0,46.0,229476.0,232893.86890502693,0.89,0
MI,oct,2018,2018-10-31,michigan,2936,Ann Arbor,394332,"Ann Arbor, MI",msa,148,33.0,22.0,44.0,254902.0,367966.16233351413,1.27,0
OH,oct,2018,2018-10-31,ohio,2167,Columbus,394492,"Columbus, OH",msa,32,35.0,11.0,44.0,177439.0,168307.67903587024,1.27,0
TX,oct,2018,2018-10-31,texas,13241,Dallas,394514,"Dallas, TX",msa,4,21.0,31.0,49.0,251215.0,261753.01704448395,1.27,0
MN,oct,2018,2018-10-31,minnesota,2631,Duluth,394543,"Duluth, MN",msa,171,37.0,32.0,30.0,148762.0,170927.16652415326,1.27,0
CO,oct,2018,2018-10-31,colorado,3326,Fort Collins,394602,"Fort Collins, CO",msa,152,33.0,28.0,50.0,368931.0,409734.8591127312,1.27,0
SC,oct,2018,2018-10-31,south carolina,2856,Greenville,394653,"Greenville, SC",msa,61,35.0,21.0,45.0,176563.0,175223.78124290804,1.27,0
CT,oct,2018,2018-10-31,connecticut,439,Hartford,394669,"Hartford, CT",msa,49,45.0,34.0,48.0,211935.0,117029.04750187504,1.27,0
MS,oct,2018,2018-10-31,mississippi,695,Jackson,394711,"Jackson, MS",msa,98,34.0,36.0,32.0,172435.0,44031.32760821842,1.27,0
TN,oct,2018,2018-10-31,tennessee,3956,Johnson City,394726,"Johnson City, TN",msa,224,34.0,28.0,34.0,143334.0,110309.3609641874,1.27,0
FL,oct,2018,2018-10-31,florida,12123,Lakeland,394766,"Lakeland, FL",msa,82,34.0,18.0,50.0,173974.0,134038.98931658323,1.27,0
PA,oct,2018,2018-10-31,pennsylvania,2768,Lebanon,394783,"Lebanon, PA",msa,306,39.0,22.0,44.0,162920.0,155022.76325664192,1.27,0
WA,oct,2018,2018-10-31,washington,3606,Longview,394804,"Longview, WA",msa,368,35.0,19.0,56.0,241976.0,227753.53408542406,1.27,0
UT,oct,2018,2018-10-31,utah,2146,Provo,395006,"Provo, UT",msa,92,28.0,20.0,57.0,301113.0,285071.66346319503,1.27,0
GA,oct,2018,2018-10-31,georgia,5778,Savannah,395070,"Savannah, GA",msa,138,34.0,34.0,50.0,199626.0,133057.63335269803,1.27,0
CA,oct,2018,2018-10-31,california,8745,Vallejo,395183,"Vallejo, CA",msa,123,29.0,24.0,48.0,426318.0,400628.50824140327,1.27,0
PA,oct,2018,2018-10-31,pennsylvania,2768,York,395244,"York, PA",msa,122,39.0,30.0,50.0,163757.0,165390.18047176945,1.27,0
OH,nov,2018,2018-11-30,ohio,1870,Akron,394304,"Akron, OH",msa,83,23.0,44.0,36.0,138189.0,65855.1468483867,1.22,0
NM,nov,2018,2018-11-30,new mexico,324,Albuquerque,394312,"Albuquerque, NM",msa,62,37.0,33.0,50.0,194332.0,206566.13534572508,1.22,0
MD,nov,2018,2018-11-30,maryland,1477,Baltimore,394358,"Baltimore, MD",msa,20,36.0,34.0,49.0,259375.0,133030.88043990906,1.22,0
NY,nov,2018,2018-11-30,new york,3575,Binghamton,394387,"Binghamton, NY",msa,195,42.0,67.0,22.0,115016.0,101418.69244052311,1.22,0
OH,nov,2018,2018-11-30,ohio,1870,Cleveland,394475,"Cleveland, OH",msa,35,23.0,46.0,37.0,132521.0,56696.094837494136,1.22,0
FL,nov,2018,2018-11-30,florida,12159,Gainesville,394622,"Gainesville, FL",msa,155,33.0,42.0,42.0,175930.0,186533.8022217841,1.22,0
PA,nov,2018,2018-11-30,pennsylvania,1640,Gettysburg,394630,"Gettysburg, PA",msa,382,40.0,39.0,39.0,196208.0,251712.04195199817,1.22,0
MI,nov,2018,2018-11-30,michigan,1353,Kalamazoo,394732,"Kalamazoo, MI",msa,190,38.0,23.0,35.0,150498.0,106235.31107410521,1.22,0
MI,nov,2018,2018-11-30,michigan,1353,Lansing,394770,"Lansing, MI",msa,107,25.0,42.0,42.0,132975.0,78696.46126262144,1.22,0
WA,nov,2018,2018-11-30,washington,3941,Longview,394804,"Longview, WA",msa,368,34.0,21.0,52.0,246702.0,228456.3757685348,1.22,0
NH,nov,2018,2018-11-30,new hampshire,232,Manchester,394820,"Manchester, NH",msa,131,42.0,25.0,50.0,268474.0,232380.39242028192,1.22,0
AZ,nov,2018,2018-11-30,arizona,2563,Phoenix,394976,"Phoenix, AZ",msa,11,23.0,29.0,52.0,257142.0,251094.13423919992,1.22,0
NY,nov,2018,2018-11-30,new york,3575,Rochester,395031,"Rochester, NY",msa,52,46.0,29.0,26.0,140139.0,99912.21147621755,1.22,0
GA,nov,2018,2018-11-30,georgia,4924,Savannah,395070,"Savannah, GA",msa,138,33.0,33.0,50.0,198748.0,133280.4894983799,1.22,0
PA,nov,2018,2018-11-30,pennsylvania,1640,Scranton,395075,"Scranton, PA",msa,101,38.0,80.0,13.0,117037.0,76310.95829028198,1.22,0
IA,nov,2018,2018-11-30,iowa,759,Waterloo,395210,"Waterloo, IA",msa,261,31.0,55.0,23.0,133420.0,63778.8818577037,1.22,0
OR,dec,2018,2018-12-31,oregon,1495,Bend,394380,"Bend, OR",msa,232,35.0,55.0,54.0,382815.0,428242.3667076311,1.17,0
MA,dec,2018,2018-12-31,massachusetts,1339,Boston,394404,"Boston, MA",msa,10,43.0,24.0,55.0,427055.0,649507.9846363202,1.17,0
NY,dec,2018,2018-12-31,new york,3277,Buffalo,394425,"Buffalo, NY",msa,50,59.0,33.0,52.0,150461.0,104636.40731209812,1.17,0
NC,dec,2018,2018-12-31,north carolina,5512,Charlotte,394458,"Charlotte, NC",msa,23,34.0,23.0,51.0,215743.0,219914.089686652,1.17,0
CA,dec,2018,2018-12-31,california,10709,Chico,394464,"Chico, CA",msa,215,30.0,24.0,84.0,296329.0,313744.91020455596,1.17,0
DE,dec,2018,2018-12-31,delaware,500,Dover,394539,"Dover, DE",msa,244,37.0,40.0,50.0,204240.0,223694.3538229342,1.17,0
OR,dec,2018,2018-12-31,oregon,1495,Eugene,394576,"Eugene, OR",msa,146,34.0,28.0,56.0,283413.0,331101.88267849386,1.17,0
AZ,dec,2018,2018-12-31,arizona,3166,Flagstaff,394595,"Flagstaff, AZ",msa,302,33.0,53.0,42.0,341083.0,383714.31586389174,1.17,0
FL,dec,2018,2018-12-31,florida,11548,Gainesville,394622,"Gainesville, FL",msa,155,33.0,44.0,46.0,177339.0,187872.6692349088,1.17,0
NC,dec,2018,2018-12-31,north carolina,5512,Hickory,394679,"Hickory, NC",msa,150,36.0,32.0,41.0,143014.0,141414.28043394882,1.17,0
SC,dec,2018,2018-12-31,south carolina,2843,Hilton Head Island,394681,"Hilton Head Island, SC",msa,216,38.0,60.0,40.0,293604.0,440452.2013780235,1.17,0
AL,dec,2018,2018-12-31,alabama,865,Huntsville,394698,"Huntsville, AL",msa,114,32.0,23.0,53.0,175129.0,200549.6770058527,1.17,0
KS,dec,2018,2018-12-31,kansas,379,Lawrence,394778,"Lawrence, KS",msa,349,33.0,35.0,45.0,203610.0,181924.29887164567,1.17,0
KY,dec,2018,2018-12-31,kentucky,887,Lexington,394792,"Lexington, KY",msa,110,34.0,36.0,40.0,175425.0,153163.4506028945,1.17,0
WI,dec,2018,2018-12-31,wisconsin,697,Madison,394816,"Madison, WI",msa,88,23.0,56.0,48.0,251703.0,261569.85875357286,1.17,0
TN,dec,2018,2018-12-31,tennessee,2139,Memphis,394849,"Memphis, TN",msa,44,20.0,41.0,52.0,152684.0,89029.16194001591,1.17,0
PA,dec,2018,2018-12-31,pennsylvania,1630,Philadelphia,394974,"Philadelphia, PA",msa,7,38.0,37.0,47.0,214261.0,192316.6397130005,1.17,0
RI,dec,2018,2018-12-31,rhode island,64,Providence,395005,"Providence, RI",msa,39,39.0,43.0,49.0,264797.0,207681.51219461713,1.17,0
SC,dec,2018,2018-12-31,south carolina,2843,Spartanburg,395109,"Spartanburg, SC",msa,160,33.0,27.0,43.0,142874.0,95512.53972824484,1.17,0
FL,dec,2018,2018-12-31,florida,11548,Tampa,395148,"Tampa, FL",msa,18,34.0,26.0,46.0,202608.0,239493.02150224816,1.17,0
OH,dec,2018,2018-12-31,ohio,1155,Youngstown,395245,"Youngstown, OH",msa,106,19.0,65.0,26.0,97972.0,25626.998975309238,1.17,0
TX,jan,2019,2019-01-31,texas,14258,Austin,394355,"Austin, TX",msa,29,30.0,36.0,57.0,309412.0,376171.6917392877,1.02,0
VA,jan,2019,2019-01-31,virginia,2859,Charlottesville,394459,"Charlottesville, VA",msa,212,41.0,67.0,42.0,275132.0,327697.5507585124,1.02,0
TX,jan,2019,2019-01-31,texas,14258,Dallas,394514,"Dallas, TX",msa,4,20.0,42.0,56.0,251076.0,263034.82501796953,1.02,0
CO,jan,2019,2019-01-31,colorado,3026,Denver,394530,"Denver, CO",msa,19,31.0,22.0,62.0,392673.0,442843.9970240842,1.02,0
PA,jan,2019,2019-01-31,pennsylvania,1353,Gettysburg,394630,"Gettysburg, PA",msa,382,41.0,44.0,45.0,184945.0,252641.99052348034,1.02,0
SC,jan,2019,2019-01-31,south carolina,3483,Greenville,394653,"Greenville, SC",msa,61,35.0,35.0,50.0,179842.0,184352.28843298886,1.02,0
SC,jan,2019,2019-01-31,south carolina,3483,Hilton Head Island,394681,"Hilton Head Island, SC",msa,216,38.0,64.0,40.0,292018.0,442858.82138792204,1.02,0
AR,jan,2019,2019-01-31,arkansas,643,Jonesboro,394728,"Jonesboro, AR",msa,323,33.0,67.0,34.0,137634.0,155144.41084369356,1.02,0
TN,jan,2019,2019-01-31,tennessee,2733,Knoxville,394753,"Knoxville, TN",msa,65,33.0,35.0,49.0,173891.0,141155.2244073625,1.02,0
NV,jan,2019,2019-01-31,nevada,1204,Las Vegas,394775,"Las Vegas, NV",msa,30,31.0,35.0,54.0,271114.0,278198.808101175,1.02,0
AR,jan,2019,2019-01-31,arkansas,643,Little Rock,394798,"Little Rock, AR",msa,81,23.0,89.0,39.0,153795.0,131162.68980705697,1.02,0
MN,jan,2019,2019-01-31,minnesota,1352,Minneapolis,394865,"Minneapolis, MN",msa,16,27.0,45.0,66.0,253273.0,268398.6512195551,1.02,0
