Date,"LT Real Average (10> Yrs)"
11/27/2024,2.20
11/26/2024,2.23
11/25/2024,2.19
11/22/2024,2.28
11/21/2024,2.30
11/20/2024,2.28
11/19/2024,2.27
11/18/2024,2.29
11/15/2024,2.30
11/14/2024,2.27
11/13/2024,2.31
11/12/2024,2.26
11/08/2024,2.15
11/07/2024,2.20
11/06/2024,2.23
11/05/2024,2.16
11/04/2024,2.21
11/01/2024,2.24
10/31/2024,2.14
10/30/2024,2.15
10/29/2024,2.21
10/28/2024,2.21
10/25/2024,2.20
10/24/2024,2.15
10/23/2024,2.18
10/22/2024,2.15
10/21/2024,2.16
10/18/2024,2.06
10/17/2024,2.08
10/16/2024,2.02
10/15/2024,2.02
10/11/2024,2.06
10/10/2024,2.05
10/09/2024,2.03
10/08/2024,2.04
10/07/2024,2.04
10/04/2024,2.01
10/03/2024,1.95
10/02/2024,1.90
10/01/2024,1.87
09/30/2024,1.93
09/27/2024,1.91
09/26/2024,1.93
09/25/2024,1.93
09/24/2024,1.88
09/23/2024,1.89
09/20/2024,1.90
09/19/2024,1.88
09/18/2024,1.88
09/17/2024,1.82
09/16/2024,1.81
09/13/2024,1.87
09/12/2024,1.91
09/11/2024,1.89
09/10/2024,1.90
09/09/2024,1.92
09/06/2024,1.96
09/05/2024,1.95
09/04/2024,1.96
09/03/2024,1.99
08/30/2024,2.03
08/29/2024,1.98
08/28/2024,1.96
08/27/2024,1.96
08/26/2024,1.95
08/23/2024,1.96
08/22/2024,2.00
08/21/2024,1.96
08/20/2024,1.97
08/19/2024,2.02
08/16/2024,2.05
08/15/2024,2.05
08/14/2024,2.03
08/13/2024,2.03
08/12/2024,2.05
08/09/2024,2.08
08/08/2024,2.13
08/07/2024,2.11
08/06/2024,2.04
08/05/2024,1.95
08/02/2024,2.03
08/01/2024,2.07
07/31/2024,2.11
07/30/2024,2.15
07/29/2024,2.16
07/26/2024,2.19
07/25/2024,2.23
07/24/2024,2.26
07/23/2024,2.20
07/22/2024,2.18
07/19/2024,2.16
07/18/2024,2.13
07/17/2024,2.09
07/16/2024,2.09
07/15/2024,2.16
07/12/2024,2.13
07/11/2024,2.14
07/10/2024,2.18
07/09/2024,2.21
07/08/2024,2.17
07/05/2024,2.17
07/03/2024,2.24
07/02/2024,2.29
07/01/2024,2.33
06/28/2024,2.24
06/27/2024,2.16
06/26/2024,2.18
06/25/2024,2.13
06/24/2024,2.15
06/21/2024,2.16
06/20/2024,2.13
06/18/2024,2.12
06/17/2024,2.17
06/14/2024,2.13
06/13/2024,2.16
06/12/2024,2.22
06/11/2024,2.24
06/10/2024,2.28
06/07/2024,2.24
06/06/2024,2.14
06/05/2024,2.14
06/04/2024,2.16
06/03/2024,2.22
05/31/2024,2.30
05/30/2024,2.33
05/29/2024,2.38
05/28/2024,2.34
05/24/2024,2.27
05/23/2024,2.28
05/22/2024,2.23
05/21/2024,2.23
05/20/2024,2.25
05/17/2024,2.24
05/16/2024,2.22
05/15/2024,2.21
05/14/2024,2.27
05/13/2024,2.30
05/10/2024,2.31
05/09/2024,2.28
05/08/2024,2.33
05/07/2024,2.30
05/06/2024,2.30
05/03/2024,2.32
05/02/2024,2.39
05/01/2024,2.41
04/30/2024,2.43
04/29/2024,2.38
04/26/2024,2.40
04/25/2024,2.44
04/24/2024,2.44
04/23/2024,2.40
04/22/2024,2.39
04/19/2024,2.39
04/18/2024,2.42
04/17/2024,2.39
04/16/2024,2.44
04/15/2024,2.40
04/12/2024,2.30
04/11/2024,2.34
04/10/2024,2.33
04/09/2024,2.21
04/08/2024,2.25
04/05/2024,2.25
04/04/2024,2.20
04/03/2024,2.23
04/02/2024,2.22
04/01/2024,2.20
03/28/2024,2.10
03/27/2024,2.12
03/26/2024,2.16
03/25/2024,2.18
03/22/2024,2.12
03/21/2024,2.16
03/20/2024,2.20
03/19/2024,2.21
03/18/2024,2.22
03/15/2024,2.19
03/14/2024,2.20
03/13/2024,2.11
03/12/2024,2.07
03/11/2024,2.04
03/08/2024,2.02
03/07/2024,2.02
03/06/2024,2.00
03/05/2024,2.00
03/04/2024,2.08
03/01/2024,2.07
02/29/2024,2.12
02/28/2024,2.15
02/27/2024,2.19
02/26/2024,2.16
02/23/2024,2.14
02/22/2024,2.21
02/21/2024,2.20
02/20/2024,2.19
02/16/2024,2.18
02/15/2024,2.18
02/14/2024,2.20
02/13/2024,2.22
02/12/2024,2.16
02/09/2024,2.15
02/08/2024,2.14
02/07/2024,2.10
02/06/2024,2.08
02/05/2024,2.12
02/02/2024,2.04
02/01/2024,1.93
01/31/2024,2.02
01/30/2024,2.07
01/29/2024,2.07
01/26/2024,2.13
01/25/2024,2.14
01/24/2024,2.15
01/23/2024,2.12
01/22/2024,2.07
01/19/2024,2.07
01/18/2024,2.09
01/17/2024,2.07
01/16/2024,2.07
01/12/2024,2.00
01/11/2024,2.03
01/10/2024,2.07
01/09/2024,2.05
01/08/2024,2.03
01/05/2024,2.08
01/04/2024,2.02
01/03/2024,1.95
01/02/2024,1.98
