Date,Median Days To Pending,RegionID,RegionName,RegionType,SizeRank,StateName
2022-02-28,,845163,"Jasper, AL",msa,508,AL
2022-03-31,,845163,"Jasper, AL",msa,508,AL
2022-04-30,,845163,"Jasper, AL",msa,508,AL
2022-05-31,,845163,"Jasper, AL",msa,508,AL
2022-06-30,,845163,"Jasper, AL",msa,508,AL
2022-07-31,,845163,"Jasper, AL",msa,508,AL
2022-08-31,,845163,"Jasper, AL",msa,508,AL
2022-09-30,,845163,"Jasper, AL",msa,508,AL
2022-10-31,,845163,"Jasper, AL",msa,508,AL
2022-11-30,,845163,"Jasper, AL",msa,508,AL
2022-12-31,,845163,"Jasper, AL",msa,508,AL
2023-01-31,,845163,"Jasper, AL",msa,508,AL
2023-02-28,,845163,"Jasper, AL",msa,508,AL
2023-03-31,,845163,"Jasper, AL",msa,508,AL
2023-04-30,,845163,"Jasper, AL",msa,508,AL
2023-05-31,,845163,"Jasper, AL",msa,508,AL
2023-06-30,,845163,"Jasper, AL",msa,508,AL
2023-07-31,,845163,"Jasper, AL",msa,508,AL
2023-08-31,,845163,"Jasper, AL",msa,508,AL
2023-09-30,,845163,"Jasper, AL",msa,508,AL
2023-10-31,,845163,"Jasper, AL",msa,508,AL
2023-11-30,,845163,"Jasper, AL",msa,508,AL
2023-12-31,,845163,"Jasper, AL",msa,508,AL
2024-01-31,38.0,845163,"Jasper, AL",msa,508,AL
2024-02-29,34.0,845163,"Jasper, AL",msa,508,AL
2024-03-31,35.0,845163,"Jasper, AL",msa,508,AL
2024-04-30,24.0,845163,"Jasper, AL",msa,508,AL
2024-05-31,18.0,845163,"Jasper, AL",msa,508,AL
2024-06-30,18.0,845163,"Jasper, AL",msa,508,AL
2024-07-31,20.0,845163,"Jasper, AL",msa,508,AL
2024-08-31,24.0,845163,"Jasper, AL",msa,508,AL
2024-09-30,27.0,845163,"Jasper, AL",msa,508,AL
2018-03-31,,395040,"Roswell, NM",msa,509,NM
2018-04-30,,395040,"Roswell, NM",msa,509,NM
2018-05-31,,395040,"Roswell, NM",msa,509,NM
2018-06-30,,395040,"Roswell, NM",msa,509,NM
2018-07-31,,395040,"Roswell, NM",msa,509,NM
2018-08-31,,395040,"Roswell, NM",msa,509,NM
2018-09-30,,395040,"Roswell, NM",msa,509,NM
2018-10-31,,395040,"Roswell, NM",msa,509,NM
2018-11-30,,395040,"Roswell, NM",msa,509,NM
2018-12-31,,395040,"Roswell, NM",msa,509,NM
